                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.64937,                0.73769,                 1.1606,                0.77067,                0.77809,                0.82725,                0.52899,                  1.309,                 1.0879,                 2.0316,             0.00011144,             0.00011144,             0.00011144
                     85,                0.66053,                0.71599,                 1.1729,                0.74323,                0.81992,                0.79858,                0.52028,                 1.2993,                 1.1196,                  2.026,             0.00010525,             0.00010525,             0.00010525
                     86,                0.64702,                0.72369,                 1.1369,                0.82039,                0.72956,                0.80335,                0.51169,                 1.2889,                 1.1231,                 2.0237,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                 0.6233,                0.70806,                 1.1469,                0.79766,                0.80757,                0.82938,                0.54004,                 1.2643,                 1.1137,                 1.9522,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.66112,                0.71648,                 1.1656,                0.78606,                0.79784,                0.83321,                0.54989,                 1.2775,                 1.0857,                 1.9645,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.65673,                0.77831,                 1.1737,                0.76836,                0.82827,                0.83642,                0.52849,                 1.2721,                 1.1062,                 1.9924,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.62713,                0.70886,                 1.1347,                0.79276,                0.80014,                0.84181,                0.53456,                 1.2736,                 1.1013,                  1.997,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.51483,                0.77827,                 1.1177,                0.80724,                0.78707,                0.83474,                0.52236,                 1.2871,                 1.1258,                 1.9822,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.49821,                0.68783,                 1.0948,                0.81549,                0.79871,                0.83275,                0.51334,                 1.2702,                 1.1103,                 1.9877,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.51423,                0.69643,                 1.1243,                0.82775,                0.74458,                 0.8311,                0.52618,                 1.2477,                  1.115,                 1.9595,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.46898,                0.65337,                 1.0855,                0.84879,                0.75169,                 0.8227,                0.52627,                 1.2347,                 1.1072,                 1.9509,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.47231,                0.62798,                 1.0792,                0.86712,                0.76607,                0.83219,                0.53729,                  1.225,                  1.098,                 1.9403,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.44895,                0.58994,                 1.0704,                0.84749,                 0.7815,                0.83337,                0.54535,                 1.2062,                 1.0726,                 1.9361,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.45754,                0.61613,                 1.0813,                 0.8459,                0.77984,                0.83402,                0.54935,                 1.2251,                 1.0736,                 1.9596,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.44145,                0.59227,                 1.0717,                0.83726,                0.78819,                0.84469,                0.55514,                 1.2093,                 1.0962,                 1.9522,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.45748,                0.61231,                 1.0622,                0.82959,                0.79293,                0.85065,                0.56212,                 1.2078,                 1.0927,                 1.9429,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.44197,                0.58064,                 1.0624,                0.82685,                0.79213,                0.84591,                0.55943,                  1.207,                 1.0898,                  1.946,             1.2438e-05,             1.2438e-05,             1.2438e-05
